"Column","x"
"CNT","Country code 3-character"
"COUNTRY","Country code ISO 3-digit"
"OECD","OECD country"
"SUBNATIO","Adjudicated sub-region"
"SCHOOLID","School ID 5-digit"
"STIDSTD","Student ID 5-digit"
"ST01Q01","Grade"
"ST02Q01","<Programme>"
"ST03Q02","Birth Month"
"ST03Q03","Birth Year"
"ST04Q01","Sex"
"ST05Q01","Attend <ISCED 0>"
"ST06Q01","Age at <ISCED 1>"
"ST07Q01","Repeat <ISCED 1>"
"ST07Q02","Repeat <ISCED 2>"
"ST07Q03","Repeat <ISCED 3>"
"ST08Q01","At Home - Mother"
"ST08Q02","At Home - Father"
"ST08Q03","At Home - Brothers"
"ST08Q04","At Home - Sisters"
"ST08Q05","At Home - Grandparents"
"ST08Q06","At Home - Others"
"ST09Q01","Mother Occupation"
"ST10Q01","Mother  <Highest Schooling>"
"ST11Q01","Mother <ISCED 6>"
"ST11Q02","Mother <ISCED5A>"
"ST11Q03","Mother <ISCED5B>"
"ST11Q04","Mother <ISCED4>"
"ST12Q01","Mother Current Job Status"
"ST13Q01","Father Occupation"
"ST14Q01","Father  <Highest Schooling>"
"ST15Q01","Father <ISCED 6>"
"ST15Q02","Father <ISCED 5A>"
"ST15Q03","Father <ISCED 5B>"
"ST15Q04","Father <ISCED 4>"
"ST16Q01","Father Current Job Status"
"ST17Q01","Country of birth Self"
"ST17Q02","Country of birth Mother"
"ST17Q03","Country of birth Father"
"ST18Q01","Country of birth Age"
"ST19Q01","Language at home"
"ST20Q01","Possessions desk"
"ST20Q02","Possessions own room"
"ST20Q03","Possessions study place"
"ST20Q04","Possessions  computer"
"ST20Q05","Possessions software"
"ST20Q06","Possessions Internet"
"ST20Q07","Possessions literature"
"ST20Q08","Possessions poetry"
"ST20Q09","Possessions art"
"ST20Q10","Possessions textbooks"
"ST20Q11","Possessions <technical reference books>"
"ST20Q12","Possessions dictionary"
"ST20Q13","Possessions dishwasher"
"ST20Q14","Possessions <DVD>"
"ST20Q15","Possessions <Cntry item 1>"
"ST20Q16","Possessions <Cntry item 2>"
"ST20Q17","Possessions <Cntry item 3>"
"ST21Q01","How many cellular phones"
"ST21Q02","How many televisions"
"ST21Q03","How many computers"
"ST21Q04","How many cars"
"ST21Q05","How many rooms bath or shower"
"ST22Q01","How many books at home"
"ST23Q01","Reading Enjoyment Time"
"ST24Q01","Read Attitude - Only if I have to"
"ST24Q02","Read Attitude - Favourite hobbies"
"ST24Q03","Read Attitude - Talk about books"
"ST24Q04","Read Attitude - Hard to finish"
"ST24Q05","Read Attitude - Happy as present"
"ST24Q06","Read Attitude - Waste of time"
"ST24Q07","Read Attitude - Enjoy library"
"ST24Q08","Read Attitude - Need information"
"ST24Q09","Read Attitude - Cannot sit still"
"ST24Q10","Read Attitude - Express opinions"
"ST24Q11","Read Attitude - Exchange"
"ST25Q01","Like Read - Magazines"
"ST25Q02","Like Read - Comic Books"
"ST25Q03","Like Read - Fiction"
"ST25Q04","Like Read - Non-fiction books"
"ST25Q05","Like Read - Newspapers"
"ST26Q01","Online - Reading Emails"
"ST26Q02","Online - Chat on line"
"ST26Q03","Online - Reading News"
"ST26Q04","Online - Using Dictionary"
"ST26Q05","Online - Particular Topic"
